Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,Arrecadacao_Total,Ganhadores_Quina,Cidade,UF,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Ganhadores_Terno,Rateio_Terno,Ganhadores_Duque,Rateio_Duque,Acumulado,Valor_Acumulado,Estimativa_Premio,Valor_Acumulado_Sorteio_Especial_São_João
139,03/09/1995,14,52,54,65,77,000,1,&nbsp,&nbsp,692.84859,343,1.25753,15425,3729.0,0,0,NÃO,000,000,000
140,10/09/1995,32,43,50,57,75,000,0,&nbsp,&nbsp,000,391,1.18429,14928,4136.0,0,0,SIM,463.05880,000,000
141,14/09/1995,6,51,53,54,57,000,2,&nbsp,&nbsp,430.78568,402,99132,13691,3881.0,0,0,NÃO,000,000,000
142,17/09/1995,15,21,56,79,80,000,2,&nbsp,&nbsp,200.96452,425,94572,17807,3010.0,0,0,NÃO,000,000,000
143,21/09/1995,14,27,39,48,61,000,0,&nbsp,&nbsp,000,255,1.17119,12171,3272.0,0,0,SIM,298.65206,000,000
144,24/09/1995,16,24,42,71,75,000,3,&nbsp,&nbsp,248.56744,403,1.10931,17126,3481.0,0,0,NÃO,000,000,000
145,28/09/1995,2,8,40,55,60,000,3,&nbsp,&nbsp,96.43437,351,82423,13028,2961.0,0,0,NÃO,000,000,000
146,01/10/1995,12,18,21,31,69,000,1,&nbsp,&nbsp,368.29644,436,84472,19273,2548.0,0,0,NÃO,000,000,000
147,05/10/1995,1,18,52,67,72,000,2,&nbsp,&nbsp,142.87720,185,1.54462,10857,3510.0,0,0,NÃO,000,000,000
148,08/10/1995,32,33,43,46,52,000,2,&nbsp,&nbsp,193.82748,203,1.90963,11474,4505.0,0,0,NÃO,000,000,000
149,15/10/1995,8,16,18,22,73,000,2,&nbsp,&nbsp,215.61699,616,70005,25679,2239.0,0,0,NÃO,000,000,000
150,19/10/1995,12,24,26,39,40,000,3,&nbsp,&nbsp,90.44380,256,1.05989,12149,2978.0,0,0,NÃO,000,000,000
151,22/10/1995,22,23,42,54,65,000,2,&nbsp,&nbsp,179.76742,287,1.25274,13358,3589.0,0,0,NÃO,000,000,000
152,26/10/1995,5,14,31,38,75,000,1,&nbsp,&nbsp,269.53315,264,1.02096,12460,2884.0,0,0,NÃO,000,000,000
153,29/10/1995,2,10,11,15,66,000,12,&nbsp,&nbsp,28.74987,975,35385,30984,1484.0,0,0,NÃO,000,000,000
154,05/11/1995,67,64,9,5,41,000,1,&nbsp,&nbsp,412.07815,420,98114,17888,3071.0,0,0,NÃO,000,000,000
155,09/11/1995,12,30,48,70,75,000,0,&nbsp,&nbsp,000,205,1.34535,8648,4252.0,0,0,SIM,275.79569,000,000
156,12/11/1995,7,12,29,54,55,000,5,&nbsp,&nbsp,134.24962,471,83961,19816,2661.0,0,0,NÃO,000,000,000
157,19/11/1995,42,50,52,66,72,000,0,&nbsp,&nbsp,000,193,2.30190,11013,5379.0,0,0,SIM,444.26648,000,000
158,23/11/1995,2,27,35,44,55,000,3,&nbsp,&nbsp,269.36465,340,1.07008,16565,2929.0,0,0,NÃO,000,000,000
159,26/11/1995,4,11,24,25,32,000,9,&nbsp,&nbsp,40.69245,751,48766,27331,1787.0,0,0,NÃO,000,000,000
160,30/11/1995,8,25,42,60,63,000,4,&nbsp,&nbsp,67.47459,215,1.25534,9987,3603.0,0,0,NÃO,000,000,000
161,03/12/1995,13,29,41,61,74,000,0,&nbsp,&nbsp,000,219,1.67130,11020,4429.0,0,0,SIM,366.01535,000,000
162,07/12/1995,20,25,57,67,78,000,4,&nbsp,&nbsp,183.22881,201,1.82537,11282,4336.0,0,0,NÃO,000,000,000
163,10/12/1995,9,14,16,52,71,000,4,&nbsp,&nbsp,90.86767,368,98769,17960,2698.0,0,0,NÃO,000,000,000
164,14/12/1995,7,9,19,45,80,000,8,&nbsp,&nbsp,37.10635,794,37387,27223,1454.0,0,0,NÃO,000,000,000
165,17/12/1995,12,21,27,45,75,000,3,&nbsp,&nbsp,124.51871,531,70350,20617,2416.0,0,0,NÃO,000,000,000
166,21/12/1995,2,31,41,43,44,000,3,&nbsp,&nbsp,96.41455,247,1.17103,10504,3672.0,0,0,NÃO,000,000,000
167,26/12/1995,20,33,62,63,69,000,1,&nbsp,&nbsp,342.33102,150,2.28221,9187,4968.0,0,0,NÃO,000,000,000
168,02/01/1996,15,26,30,44,69,000,3,&nbsp,&nbsp,138.45457,305,1.36185,15088,3671.0,0,0,NÃO,000,000,000
169,07/01/1996,3,15,30,56,72,000,1,&nbsp,&nbsp,423.81025,446,95025,19934,2835.0,0,0,NÃO,000,000,000
170,11/01/1996,18,22,27,74,75,000,3,&nbsp,&nbsp,95.12648,260,1.09761,12056,3156.0,0,0,NÃO,000,000,000
171,14/01/1996,12,18,37,47,56,000,4,&nbsp,&nbsp,90.84887,414,87777,19297,2511.0,0,0,NÃO,000,000,000
172,18/01/1996,37,38,57,67,79,000,1,&nbsp,&nbsp,276.34054,194,1.42443,9730,3787.0,0,0,NÃO,000,000,000
173,21/01/1996,22,29,34,42,51,000,2,&nbsp,&nbsp,176.97215,237,1.49343,11135,4238.0,0,0,NÃO,000,000,000
174,25/01/1996,11,16,23,44,48,000,5,&nbsp,&nbsp,53.55020,432,61979,16042,2226.0,0,0,NÃO,000,000,000
175,28/01/1996,29,60,64,72,79,000,2,&nbsp,&nbsp,165.55711,166,1.99466,8076,5467.0,0,0,NÃO,000,000,000
176,01/02/1996,1,27,29,36,73,000,2,&nbsp,&nbsp,127.97018,165,1.55116,9849,3465.0,0,0,NÃO,000,000,000
177,04/02/1996,9,33,48,67,73,000,9,&nbsp,&nbsp,38.56064,356,97485,13289,3482.0,0,0,NÃO,000,000,000
178,08/02/1996,5,14,15,66,68,000,3,&nbsp,&nbsp,92.87484,363,76756,16307,2278.0,0,0,NÃO,000,000,000
